Label,x,y,z
2051,98.615746,50.771347,155.969269
2052,98.615578,50.771248,156.208618
2053,98.61557,50.771236,156.232788
2054,98.615768,50.771351,155.943817
2055,98.615784,50.771366,155.918381
2056,98.615616,50.771263,156.160233
2057,98.615593,50.771255,156.184433
2058,98.615433,50.77116,156.425369
2059,98.615448,50.771172,156.402466
2060,98.615303,50.771084,156.645035
2061,98.61528,50.771076,156.666687
2062,98.615402,50.771145,156.471207
2063,98.615425,50.771156,156.448288
2064,98.615273,50.771069,156.688324
2065,98.615265,50.771061,156.709976
2066,98.615601,50.771252,156.192368
2067,98.6157,50.77132,156.027908
2068,98.615501,50.771194,156.340286
2069,98.615585,50.771244,156.213089
2070,98.615692,50.771309,156.045624
2071,98.615715,50.77132,156.020172
2072,98.615547,50.771225,156.256989
2073,98.615532,50.771217,156.281158
2074,98.615387,50.77113,156.517044
2075,98.615395,50.771133,156.494125
2076,98.61525,50.771049,156.731613
2077,98.615234,50.771046,156.753265
2078,98.615356,50.771111,156.562881
2079,98.615364,50.771118,156.539963
2080,98.615227,50.771042,156.774902
2081,98.615219,50.77103,156.796539
2082,98.616096,50.771542,155.507339
2083,98.616081,50.771526,155.542526
2084,98.616112,50.771549,155.502747
2085,98.616219,50.771606,155.372726
2086,98.615875,50.771408,155.799194
2087,98.615898,50.771423,155.77124
2088,98.61573,50.771328,155.997345
2089,98.615707,50.771313,156.024048
2090,98.615669,50.77129,156.083496
2091,98.6157,50.771305,156.045227
2092,98.615875,50.771408,155.794891
2093,98.615761,50.771343,155.953064
2094,98.616096,50.771542,155.520065
2095,98.616127,50.771561,155.483704
2096,98.616341,50.771683,155.22644
2097,98.616211,50.771606,155.388382
2098,98.616348,50.771683,155.228577
2099,98.616371,50.771702,155.19812
2100,98.61618,50.771587,155.428589
2101,98.61615,50.771568,155.457809
2102,98.615959,50.771461,155.687347
2103,98.615982,50.771477,155.659393
2104,98.615807,50.771378,155.890518
2105,98.615791,50.771362,155.917221
2106,98.615921,50.771439,155.743286
2107,98.615952,50.771454,155.715317
2108,98.615776,50.771351,155.943924
2109,98.615753,50.771339,155.970627
2110,98.615608,50.771259,156.164474
2111,98.615578,50.771244,156.207214
2112,98.615417,50.771149,156.460571
2113,98.615517,50.77121,156.300323
2114,98.615623,50.771267,156.156738
2115,98.615601,50.771252,156.189819
2116,98.615509,50.771198,156.327377
2117,98.615181,50.771011,156.853226
2118,98.615211,50.77103,156.805313
2119,98.615356,50.771114,156.551224
2120,98.615265,50.771057,156.713577
