ITEM NAME,VARIABLE,MIN,MAX,AVG,RMS,STDDEV
935,Uz,1.41576053,5.24975397,3.185637898,3.271068361,0.742697385
935,UMag,1.484424762,5.519543794,3.264714617,3.358448493,0.787917981
935,p,-100.249791,-77.5412483,-88.01861726,88.15001348,4.811225529
936,Ux,-1.64190497,0.511529211,-0.600602451,0.75619015,0.45945646
936,Uy,-0.025145856,0.085585775,0.027241622,0.036446266,0.024212071
936,Uz,-0.268126771,2.58688884,1.187379133,1.30835357,0.549472344
936,UMag,0.197467647,2.978297386,1.363542722,1.511602109,0.652450904
936,p,-90.1357488,-65.3920335,-76.74100055,76.90434801,5.009748183
937,Ux,9.11700239,10.7447143,9.781305419,9.788782716,0.382532823
937,Uy,-0.922020181,-0.804716389,-0.854853988,0.855322131,0.028294997
937,Uz,-0.696130224,0.63590121,-0.036716317,0.237347955,0.23449086
937,UMag,9.155141533,10.78601827,9.821470991,9.828945877,0.383255296
937,p,-94.8234551,-63.8564279,-78.43224143,78.67509642,6.176916821
938,Ux,-2.74481166,0.999477363,-0.727513956,1.064780851,0.777484215
938,Uy,-0.088871203,0.423212069,0.121695473,0.161033106,0.105460291
938,Uz,-0.748555766,2.25311264,0.660558807,0.895497889,0.604630906
938,UMag,0.25948551,2.775937793,1.287090095,1.400573594,0.552273012
938,p,-97.9663893,-60.5002233,-76.56198845,76.89503253,7.148982564
939,Ux,0.282083236,1.91983929,1.095704346,1.142286131,0.322877052
939,Uy,-0.285445658,0.003772417,-0.141281429,0.15185361,0.055669352
939,Uz,-1.84170347,-0.036160921,-1.001527203,1.037312035,0.270110199
939,UMag,0.566297037,2.245630579,1.527889302,1.550449413,0.263529248
939,p,-95.8596124,-56.5413256,-77.29123839,77.64756592,7.430273218
940,Ux,6.79939433,9.54228319,8.557208666,8.570835914,0.483123295
940,Uy,-1.20749166,-0.926979555,-1.104619101,1.105698203,0.04883807
940,Uz,-2.21099897,-0.512042428,-1.246347821,1.286117242,0.317355744
940,UMag,7.128283136,9.642060786,8.72576164,8.73704151,0.44382221
940,p,-91.9433964,-64.1732957,-81.20570384,81.35128005,4.86461003
941,Ux,10.5665162,11.3424506,10.98306106,10.98437408,0.169834375
941,Uy,-1.73963825,-1.63795852,-1.695304242,1.695432226,0.020831662
941,Uz,1.13523734,2.21585026,1.72408863,1.734051348,0.185613781
941,UMag,10.77465509,11.64332664,11.24749025,11.24890654,0.178497945
941,p,-86.7621584,-70.1719675,-79.07921593,79.13496832,2.969986291
942,Ux,6.20568082,8.22731938,7.569957395,7.578587734,0.361575829
942,Uy,-1.43303068,-1.09679466,-1.322299597,1.323717391,0.06124953
942,Uz,-1.23004621,-0.237711964,-0.633055853,0.662361446,0.194840889
942,UMag,6.398813384,8.355400286,7.713835147,7.721783632,0.350270998
942,p,-85.2762769,-72.1445563,-79.20655066,79.2504506,2.637470921
943,Ux,10.3501248,10.7029909,10.55464206,10.55495644,0.081463704
943,Uy,-2.11994537,-2.05487956,-2.093932899,2.093988042,0.015196573
943,Uz,0.290267341,0.788279609,0.591531906,0.602275967,0.113253453
943,UMag,10.55772775,10.93725599,10.77715216,10.77750563,0.087286354
943,p,-73.8552208,-62.870177,-67.76334693,67.80960743,2.504330618
944,Ux,4.62327906,5.24702623,4.9984435,5.000474952,0.142521307
